rank,team,country,score
2965,Team Black Beard,Netherlands,137485
2966,Gear 5,United Kingdom,137430
2967,hardpush,India,137404
2968,Bearly Profitable,India,137363
2969,Strictly Orthogonal,Ireland,137361
2970,4th Dimension,India,137288
2971,SMS,United Kingdom,137285
2972,AlphaStar,United States,137225
2973,Knight bytes,India,137216
2974,Arkham,India,137186
2975,Amethyst Lagoon,United States,137159
2976,Perpetual,India,137139
2977,Tyche Technologies,United States,137130
2978,internship_pls,France,137016
2979,LarTech,Germany,137016
2980,AZTR,Netherlands,136955
2981,House_Atreides,United Kingdom,136941
2982,TimTamStudySlam,Australia,136934
2983,Heath Citrine,Australia,136926
2984,Not-so-prosperous,India,136914
2985,KamaMale,Netherlands,136913
2986,little j big energy,China,136885
2987,Lil_endian,Poland,136856
2988,AndrewsTeam,United States,136821
2989,DK27,India,136768
2990,HeltauGods,Netherlands,136698
2991,mcdonalds workers,United Kingdom,136656
2992,Renaissance Wreck,United Kingdom,136653
2993,unsw chuds,Australia,136589
2994,el primo,Turkey,136415
2995,j_for_fun,United States,136375
2996,I M Cooked,India,136368
2997,THE JOKER,India,136305
2998,Zenith,India,136265
2999,Liquidity Galaxy,United Kingdom,136265
3000,AvocadoToast,Australia,136259
3001,KinVyaksha,India,136242
3002,Jojo team,France,136230
3003,Murphys,Germany,136203
3004,Invariant,Spain,136193
3005,Bm,Ireland,136168
3006,PnL Pirates,India,136137
3007,Marlbros,India,136132
3008,Team Protoforge,Sri Lanka,136000
3009,front point partners,Australia,135949
3010,SIGQuant,United States,135901
3011,Murdoch Capital,United Kingdom,135887
3012,bro idk,Singapore,135766
3013,quantlarper,Singapore,135740
3014,Advay,United Kingdom,135717
3015,The Alpha Seekers,Hong Kong,135667
3016,Data Ninja,United States,135640
3017,The Quantisors,United Kingdom,135609
3018,Iverson,United States,135535
3019,PBG,United States,135523
3020,Hypernova Traders,India,135464
3021,AlphaSpace,France,135463
3022,Accretion,United States,135441
3023,Caelion,India,135299
3024,Yajik,India,135289
3025,Long 6 Short 7,France,135285
3026,Inverse CDF,United States,135209
3027,ICTraders,India,135163
3028,Artemis alpha,France,135079
3029,Algo_j,United Kingdom,134917
3030,Connoisseurs,India,134893
3031,Celestrix,India,134854
3032,c-hui,United States,134852
3033,Tradinggoat,India,134818
3034,Puerto Vallarta II,United States,134728
3035,who-knows,India,134687
3036,lemon tea,United Kingdom,134678
3037,Algorithm Trading,China,134627
3038,Veritech,Canada,134510
3039,Residual Drift,Serbia,134389
3040,FlaminHotBullSack,India,134360
3041,GaussianGambler,Switzerland,134330
3042,21BrotherHOOD,United Kingdom,134308
3043,CoreBits,India,134265
3044,paradogma,India,134224
3045,gir,Australia,134213
3046,Divyesh Jayswal,Germany,134110
3047,jellycat,United States,133927
3048,The_Hog_Rider,India,133868
3049,Stochastic Slayers,India,133829
3050,Tricksters for Trade,North Korea,133791
3051,BearRabbit,Canada,133787
3052,AN-225 Mriya,United Kingdom,133738
3053,Cornell Capital,United States,133732
3054,Pliable Tissues 88 pack,China,133539
3055,TeamYuvraj,United Kingdom,133533
3056,Project Male Hairy,Canada,133506
3057,KJnomyo,India,133414
3058,CursorTrader,India,133392
3059,bubulle,France,133371
3060,Pull Fiction,Romania,133345
3061,Feynman Followers,United Kingdom,133340
3062,Pls leave me alone,Singapore,133167
3063,quantnovice,United States,133113
3064,bink,Australia,133048
3065,Onghai Family,United States,133016
3066,Rose,United States,132987
3067,Michigan Algo Traders,United States,132987
3068,Gromflomites,Germany,132975
3069,PorcoRosso,Switzerland,132928
3070,Fear and Greed,India,132888
3071,long long,India,132868
3072,zompop,India,132836
3073,Bagh Bachcha,India,132832
3074,Entaxi,India,132831
3075,BruinAlgorithmicTraders,United States,132723
3076,team 999,United States,132711
3077,Real Racers,India,132527
3078,Scrutari,Australia,132492
3079,space_coin,United States,132461
3080,Hadesgo,China,132432
3081,FrankfurtDegens,Germany,132239
3082,CYC,United States,132185
3083,TradeGrind,India,132179
3084,Coastal,United Kingdom,132130
3085,O O,Canada,132093
3086,SoloHanSolo,India,131901
3087,Cortana,France,131888
3088,Coates to Glory,Australia,131874
3089,acdhemtos,India,131843
3090,The Wizard Guild,India,131833
3091,BAZIBAZI,United States,131742
3092,Land of Rich 2,India,131630
3093,prosperity04_team,United States,131585
3094,Trade_God,India,131545
3095,Zipthous,United Kingdom,131544
3096,ReDeCe,Canada,131515
3097,Live Long and Profit,Belgium,131511
3098,ImlyChutney,India,131454
3099,Infinite Horizon,India,131392
3100,Spaced Out,India,131373
3101,996,Australia,131364
3102,Maverick,Hong Kong,131340
3103,Bojongsantos,Indonesia,131201
3104,RoadToQuant,United Arab Emirates,131184
3105,Aether,France,131175
3106,OMOD,Cyprus,131076
3107,BananaTapioca,India,131054
3108,MindFlayer,India,131019
3109,pikmin,Taiwan,130905
3110,High Cortisol,Vietnam,130890
3111,PotentiallyMMTL,United Kingdom,130796
3112,Turbo Trabant,Germany,130718
3113,Team246 Catchment2,United States,130659
3114,TheBigDiper,India,130582
3115,Vayam Sarve Vijayinah,United Kingdom,130438
3116,filo,Singapore,130430
3117,Beavers,United States,130379
3118,Falcons,India,130290
3119,Code Blooded,United States,130239
3120,Dreamy Orbit,United States,130210
3121,QuantSense,Australia,130204
3122,Kawiarnia Szkocka,Poland,130146
3123,TeamAG,India,130105
3124,RiskNeutral,Canada,129883
3125,0dte_SPX,Germany,129867
3126,King Zeus,India,129850
3127,ohig,India,129824
3128,TraderR,United Kingdom,129810
3129,TryingToWin,France,129800
3130,Probes_vs_Zealots,Netherlands,129698
3131,Mango,United States,129634
3132,novice,Australia,129622
3133,silvercube227,United States,129572
3134,b1,Australia,129569
3135,blackjack back to back,United States,129389
3136,lmnt,United States,129249
3137,Robert,Netherlands,129180
3138,essence,India,129159
3139,The Coconuts,Bulgaria,128798
3140,Akasuki,India,128761
3141,Paperinik,Italy,128682
3142,KrabbyPatty,India,128524
3143,NightFury,India,128465
3144,AmateurIL,United States,128351
3145,marketSolver_ai,United States,128299
3146,ycxsm,United States,128077
3147,Neural Ninja,India,128072
3148,PepperPaprika,Australia,127977
3149,Pi-thon,India,127946
3150,Space Guys,Netherlands,127943
3151,HMY,Taiwan,127931
3152,QUADS,United States,127886
3153,Gooner,Portugal,127843
3154,thezachteam,United States,127721
3155,FitzRoy,United States,127631
3156,Reality,United Kingdom,127536
3157,AbsoluteMinima,Switzerland,127438
3158,Byte Force,India,127430
3159,Trading course in bio,Ireland,127341
3160,ExtraterrestrialTraders,Ireland,127254
3161,Value Vision Capital,Portugal,127202
3162,OnlyHung,Singapore,127185
3163,ChickenEgg,China,127079
3164,Thames River Trading,United Kingdom,127063
3165,beans123,United States,127054
3166,Argmax Capital,United Kingdom,127032
3167,All_in_crypto,France,126843
3168,QAKE,France,126792
3169,Juno,India,126762
3170,Parisian Arbitrage,France,126709
3171,celsius,United States,126594
3172,JZTeam,Poland,126362
3173,Dev-engers,India,126361
3174,Arepo,United Kingdom,126349
3175,Crusaders,India,126197
3176,Cosmic Carry,Italy,126126
3177,Wuhaan Trading,Australia,126116
3178,Croissant au beurre,France,125920
3179,Fake Analysis,India,125856
3180,Quant Quant,India,125762
3181,Panchtantra,India,125655
3182,wildcats,United States,125636
3183,Pinway,United States,125626
3184,Poneglyph,Antarctica,125541
3185,UniversalGamblers,India,125306
3186,Hedge This,Australia,125090
3187,Aswathama,India,125069
3188,photography,Australia,125019
3189,soloTrading,United Kingdom,125017
3190,The Last Viltrumite,India,124567
3191,The Red Herring,India,124525
3192,Double-MasterTraders,India,124502
3193,Mupps,United States,124395
3194,Crystalline,United States,124389
3195,Magic,Singapore,124182
3196,fradangolo,Italy,124178
3197,v1True,United Kingdom,124082
3198,DinoS26,Australia,123893
3199,Wall Street Wolf,China,123835
3200,Atlas,United Kingdom,123741
3201,prosperity404,India,123527
3202,Meridian,United Kingdom,123525
3203,HighT,Italy,123393
3204,Risk Trading,India,123363
3205,ToBeChanged,United States,123269
3206,QuantsOfKungstradgarden,Sweden,123180
3207,ChouQuant143,United Kingdom,122858
3208,Super Cool Dragon Team,United States,122720
3209,StarzNStripesSquad,United States,122649
3210,Cannoli Traders,Italy,122566
3211,chapsquad,Canada,122544
3212,DeltaForceV,United Kingdom,122534
3213,Pineapple Pineapple,United States,122516
3214,Kuna,United Kingdom,122481
3215,21 Cars,Australia,122479
3216,snake_case,Australia,122466
3217,Cosmic Algo,India,122295
3218,6ixers,Canada,122213
3219,Unprofessionals,United States,122194
3220,helene,Romania,122092
3221,Aspiring Researchers,France,122058
3222,sudo rm -rf,India,122048
3223,TradingHeroes,India,122021
3224,Bearly Losing,India,122013
3225,Telescope,Australia,122002
3226,Triple A,United States,121950
3227,Ironhill,United States,121916
3228,Expected Value,United States,121762
3229,Tycho,India,121729
3230,AKhetani,United Kingdom,121621
3231,Quantum Quotes,India,121566
3232,Ballers GT,United States,121550
3233,NA,United States,121533
3234,WOWS,India,121409
3235,CODERZ,India,121390
3236,314159,Poland,121387
3237,kuchh bhi,India,121333
3238,TP Titans,Ireland,121235
3239,sew butiful cat,United States,121114
3240,GlobalTraders,India,121038
3241,AlphaByte,Australia,121015
3242,TUM All-Stars,Germany,120883
3243,c1,United States,120844
3244,KnightoftheUniverse,India,120726
3245,GEKO,United States,120720
3246,xcapital,Australia,120615
3247,CalTrading,United States,120608
3248,LiteL0,India,120551
3249,Goldman Stanley,United States,120397
3250,Prosperitos,India,120385
3251,AxeCap,India,120298
3252,Cloud,United Kingdom,120235
3253,skyzz,India,120185
3254,shanks,India,120082
3255,Algoarmsdealer,India,120005
3256,Axelerator,United States,119742
3257,Space Raiders,India,119649
3258,Bulut,Turkey,119649
3259,Zento,India,119541
3260,alpha_traders,India,119475
3261,ChemCanBQuant2,United Kingdom,119355
3262,mathi,India,119296
3263,Ananth,United Kingdom,119281
3264,Nth Team,India,119277
3265,Chelsea,Hong Kong,118842
3266,DU BETTER THAN OXBRIDGE,United Kingdom,118763
3267,Panipuri,India,118562
3268,FKE,United States,118449
3269,quanTico,India,118405
3270,Biggie Cheese,United States,118374
3271,The Kings Gambit,United Kingdom,118315
3272,SoloLeveling,Romania,118259
3273,Vu,Germany,118158
3274,ATREDZ,India,118038
3275,Minimax,United Kingdom,117985
3276,UnitSetGo,Singapore,117970
3277,Code_Monks,India,117873
3278,Backspace,United Kingdom,117857
3279,AJJJJJ,United Kingdom,117855
3280,NoLimit,United Kingdom,117529
3281,Xebec_trader,India,117374
3282,Astro PnL,United Kingdom,117346
3283,ByteBroker,India,117333
3284,LINUX HACKER,India,117219
3285,MCHC,Canada,116964
3286,Quantumino,Switzerland,116924
3287,Llydras,United Kingdom,116849
3288,d1jimsimonsglazer,United States,116756
3289,Fait Accompli,Australia,116676
3290,timeless,United Kingdom,116618
3291,Tectonic Alpha,United States,116543
3292,potatos,United States,116492
3293,Entangled_999,India,116441
3294,ouffuo,China,116227
3295,wiggle,Australia,116187
3296,Cezanne,France,116091
3297,hehe i love poker,India,115989
3298,Algo Architects,India,115985
3299,Astra Alpha,India,115863
3300,Lehman Bros Risk Dept,Spain,115829
3301,My_Planet5,United States,115705
3302,Noobs,Netherlands,115574
3303,cheeseburger,United States,115561
3304,in-tea-gral,United Kingdom,115533
3305,Cosmic Money Maker,France,115484
3306,Shrimp Arbitrage,United Kingdom,115446
3307,Yukinator,Canada,115407
3308,StillTrieing,India,115131
3309,Bodhan,India,115032
3310,klein 4,United States,114811
3311,Them,Switzerland,114665
3312,MSU STG,United States,114645
3313,Just Gambling,France,114444
3314,will_decide_later,India,114316
3315,Swayam,India,114304
3316,Quantwood,India,114172
3317,WQSJSE,India,114113
3318,NK Trading,Germany,114078
3319,Erdos,India,114053
3320,St-Laurent River Tradin,Canada,114009
3321,powerpuff girls,India,113938
3322,BlackWhale Capital,Hong Kong,113707
3323,twice,United States,113669
3324,Ethen,United Kingdom,113557
3325,Columbia Trading Desk,United States,113556
3326,AK247,India,113499
3327,Spy,India,113451
3328,argmax-entropy,United States,113433
3329,The Spread,United Kingdom,113319
3330,Bin,Vietnam,113232
3331,Samasthiti,United States,113062
3332,JanisPride,India,112955
3333,QRSNTU,Singapore,112744
3334,AU Mathematics,United States,112741
3335,TheBeavers,Italy,112576
3336,John GC,United States,112561
3337,Argonauts,United Kingdom,112435
3338,ameasa,India,112404
3339,Anything,South Korea,112292
3340,Real-Time Returns,United States,112122
3341,Tigers,United States,112108
3342,EDHEC Feng,France,112002
3343,Oozma Kappa,United States,111966
3344,prosper_prospects,United Kingdom,111784
3345,Phoenix4,India,111774
3346,InsaTrade,France,111767
3347,Syntax Error,Australia,111443
3348,six seven,United States,111408
3349,Nirmala tai traders,India,111272
3350,Algo Warfare,Australia,111209
3351,Bazzy,United States,111103
3352,ww22,United States,111081
3353,pros-parity,India,110828
3354,Megatron,India,110738
3355,Quanticide,India,110722
3356,Sherlock and Toby,Ukraine,110692
3357,qUanTeDs,United States,110597
3358,SENKAI,India,110507
3359,Sakura Starfleet,Croatia,110493
3360,Tirth Patel,Australia,110465
3361,Pump n Dump,India,110233
3362,Party of One,United Kingdom,110110
3363,Booming bulls,United States,110038
3364,Croissant Capital,France,109950
3365,Macans,Spain,109701
3366,SUMOON,China,109675
3367,Legendary,India,109642
3368,isomorph,India,109554
3369,TradeKnights,India,109541
3370,Margin Call Me Maybe,United Kingdom,109531
3371,B1773,United Kingdom,109509
3372,matteo,United States,109441
3373,Equipaken,Spain,109424
3374,FractalCapital,Italy,109410
3375,BeanBoys,India,109318
3376,QuantFlex,Thailand,109305
3377,Neezy,United States,109285
3378,Genghis Quants,Hong Kong,109209
3379,KS,France,109124
3380,Wowo,Canada,109027
3381,Currys Crew,United States,108871
3382,papaQuant,India,108870
3383,Zeta,Italy,108854
3384,ExpectoPatronum,India,108722
3385,Gambling with style,India,108592
3386,Saar_GT,United States,108549
3387,Danube Dynamics,Romania,108540
3388,Sapphicoders,India,108527
3389,Ayesha,India,108517
3390,ICLondon,United Kingdom,108458
3391,East River Trading,United States,108457
3392,MelbourneBagels,Australia,107860
3393,mathsaurus,United States,107723
3394,DOWNFALLER,India,107625
3395,IIM Abhilash,India,107613
3396,Team128319283,United Kingdom,107496
3397,Team Kevin,New Zealand,107465
3398,Iota,India,107439
3399,Lemonn,India,107377
3400,Erikli Su,Turkey,107107
3401,AMGOBOT,India,106875
3402,QuantX,United Arab Emirates,106841
3403,BrainTeam,Australia,106769
3404,Agent-F,India,106743
3405,Jola and crew,United Kingdom,106671
3406,woodlawnsugarcookie,United States,106572
3407,whaandre,Canada,106539
3408,DeucesFull,United States,106534
3409,we need a group name,United States,106497
3410,Tutto passa,Italy,106455
3411,Hackerz,India,106426
3412,040Trades,Germany,106422
3413,GPT_Gamblers,India,106412
3414,onemanarmy,Russian Federation,106388
3415,TradJa,Netherlands,106223
3416,Trend Chasers,Australia,106183
3417,Prosperity0,Australia,105885
3418,Cassian,Australia,105765
3419,strix,India,105616
3420,Zhacks,India,105396
3421,Bhuvaneshwari Warriors,India,105366
3422,CN trading,Italy,105272
3423,Pi Pi potato,Japan,105153
3424,Edging n Hedging,Switzerland,105085
3425,Penn NewCLEAR,United States,105077
3426,Loo-Loo-Loo,Canada,105071
3427,eugenio2,Canada,105032
3428,Space Cowboy,United States,104977
3429,Team East,United States,104839
3430,Team_ Cosmos,India,104790
3431,1729,India,104787
3432,Vamos a la playa,Netherlands,104771
3433,Ctrl_Alt_Win,India,104569
3434,The Motion,United Kingdom,104396
3435,Team Name exists,India,104358
3436,stressed,Germany,104342
3437,AlphaGeddon Securities,United Kingdom,104304
3438,The Veggie Patch,Australia,104297
3439,AAG,United States,104289
3440,javaforge532,United States,104188
3441,Waggler is my Goat,United States,104166
3442,k2x,United States,104128
3443,Imperial Troopers,United Kingdom,103924
3444,betas finding alpha,United Kingdom,103710
3445,1ntr,India,103674
3446,Tech Warriors,India,103618
3447,PhoenixA,United States,103616
3448,Potuzhna team,Ukraine,103399
3449,TraderFc,United States,103385
3450,QuantCoders,United States,103359
3451,KanavC,India,103277
3452,PreposterousProsperous,India,103269
3453,Aidia Investments,Australia,103182
3454,Edgerunner,United States,103175
3455,Team Sam,United States,103094
3456,Lehman Bros,United Kingdom,103090
3457,tudx,Germany,102992
3458,ShortDragon,India,102987
3459,Upper_Moon_1,India,102935
3460,DeBorg,India,102934
3461,Apple,India,102919
3462,Prosper Conquerors,India,102897
3463,The liquidator,United Kingdom,102812
3464,Buy - High Sell - Low,India,102764
3465,ProsperGT,United States,102740
3466,Klute Warriors,United Kingdom,102708
3467,AN007,India,102686
3468,JeeQ,India,102580
3469,LYC,Australia,102441
3470,gamblers gang,India,102331
3471,SydneyTrainsIsGoodTrust,Australia,102307
3472,Transformers,India,102223
3473,Cicada 3301,India,102203
3474,BearAutomata,India,102167
3475,Unexpected Value,United Kingdom,102037
3476,Madness Carl Son,Hong Kong,102005
3477,theduve,Australia,101954
3478,QuantumLeap,Colombia,101933
3479,Athena1234,Australia,101925
3480,Newbie_,India,101709
3481,XYZ01,India,101708
3482,nbsp,United States,101693
3483,parsec,Switzerland,101657
3484,Thetafy,India,101623
3485,mscf-team-w,United States,101474
3486,Baroque Technologies,Czech Republic,101457
3487,Profit Pioneers,United States,101405
3488,The_Neutron_Star,India,101377
3489,AlgoToAlpha,India,101300
3490,Backstube,Germany,101300
3491,ExitLiquidityz,Australia,101159
3492,Freya,Australia,101130
3493,Quant Rick Student,Poland,101127
3494,Tight Techies,India,100966
3495,Better than Quint,Germany,100938
3496,SydneyTrainsIsBadTrust,Australia,100922
3497,Boba man,United States,100873
3498,Team ChAmBeR,India,100872
3499,LinuX Capital,France,100757
3500,Aaran,United Kingdom,100728
3501,the jits,United States,100662
3502,Jing,China,100642
3503,Null Pointer,India,100612
3504,GarsSurs,Belgium,100563
3505,Curious Lemons,Spain,100489
3506,Ballrrr,United States,100481
3507,Huldrych Zwingli,Switzerland,100413
3508,BangarangaQuants,Netherlands,100354
3509,eastern european quants,Russian Federation,100188
3510,CrimsonHz,India,100134
3511,Archipelago Ventures,Indonesia,100017
3512,Larptronauts,United States,100010
3513,t for trading,India,99999
3514,hurricane,United Kingdom,99840
3515,Ciocana Noua,Netherlands,99830
3516,Australis,Australia,99696
3517,Fine Men,India,99693
3518,Market_makers,United States,99673
3519,Space_Quant,United States,99609
3520,ErfaErfa,United States,99602
3521,Geekhaven,India,99481
3522,Cryptonite,United States,99471
3523,resonance,Switzerland,99458
3524,Short-Term Capital Mgmt,Poland,99433
3525,3 sigma,United States,99397
3526,HaiHai,Singapore,99384
3527,prospevent,Australia,99351
3528,axiom4,Australia,99317
3529,sh00t 4 the m00n,India,99273
3530,TeamPro,Cyprus,99248
3531,StarHackers,India,99222
3532,Physicsrose,India,99183
3533,Caesar org,India,99111
3534,TycheBros,India,99009
3535,Cortexx,India,98966
3536,Hoppers,United States,98964
3537,Quantum Monkey,India,98936
3538,7igma,United States,98917
3539,Duck_Cat_NPC,India,98862
3540,JBAC Strategy Foundry,France,98827
3541,PremiumAlpha,United States,98796
3542,Quantlytics,India,98769
3543,Rebel,United Kingdom,98676
3544,Khorisa,India,98674
3545,Heuristic,India,98646
3546,Grow More,India,98562
3547,TEAMGEN,India,98560
3548,Jhon Acuna,United States,98526
3549,INeedAquaphor,United States,98486
3550,Black Scholes Hole,Australia,98441
3551,Harika,India,98365
3552,Sovereign,United Kingdom,98362
3553,No Prosperity,Australia,98360
3554,BuyHiSellLo,United States,98348
3555,Light,India,98339
3556,Script 81,United States,98312
3557,Una Veritas,Singapore,98270
3558,Vatos Locos,France,98237
3559,Underachievers,India,98162
3560,Kaleidoscope,United States,98048
3561,DogeChallenger,United States,97999
3562,Thinkers Knight,India,97946
3563,Pirex8,United States,97904
3564,Trade blasters,India,97855
3565,ENSAI,France,97853
3566,Can we actually,Morocco,97835
3567,Astrocyte,Australia,97822
3568,Perp Walkers,United States,97822
3569,Leo11235,Brazil,97819
3570,Accidentally in Finance,United States,97765
3571,ABN Data Trainees,Netherlands,97760
3572,Welovesunnydays,United States,97745
3573,Paper Hands Capital,United States,97730
3574,Third Eye,India,97708
3575,Travelling Salesmen,India,97693
3576,larpinglarries,United States,97686
3577,Inverse Madoff,Germany,97679
3578,Follow the Sun,Netherlands,97677
3579,High_Beta_Traders,India,97658
3580,Ritarian Root,Switzerland,97615
3581,ICT Concepts,Australia,97598
3582,Osiris,United States,97584
3583,Juan Titative,United Kingdom,97491
3584,TMT TEAM,France,97474
3585,nun but net in ya hoop,United States,97462
3586,bun bo hue,Australia,97422
3587,Quantfist,India,97421
3588,krishthefish,United Kingdom,97421
3589,Team Vortex,India,97416
3590,No Pain No Quant,Germany,97408
3591,Kerberos,India,97388
3592,MT29,Vietnam,97344
3593,Alpha Animals Hunters,United States,97341
3594,TeamBKR,United Kingdom,97315
3595,Apex Analytics,Australia,97272
3596,Grand prix quants,India,97180
3597,AstroBeaver77,Netherlands,97115
3598,100Meters,United Kingdom,97100
3599,Basars,Kazakhstan,97065
3600,MV Kameng,India,97053
3601,BerkeleyBound,United States,96989
3602,clauderer,India,96952
3603,Overfitting,Switzerland,96944
3604,Ep2020,India,96874
3605,Bigger Picture,India,96859
3606,COZY BOYS,Romania,96828
3607,Walter,Sweden,96808
3608,Axelrod Alpha,Singapore,96800
3609,WXY,Australia,96777
3610,brainseizure,India,96736
3611,ASK,United States,96723
3612,TheNewFrontierPioneer,United States,96718
3613,ArchAngel,India,96701
3614,waterloo1,Canada,96668
3615,lala_totes,United Kingdom,96662
3616,Dominanta,Austria,96650
3617,V_nimiwal,India,96544
3618,Opportunity Cost High,Switzerland,96529
3619,woyaowanyunyuanshen,Australia,96457
3620,Navix,United States,96447
3621,Visionary,Canada,96436
3622,KINGS,United Kingdom,96433
3623,Bigman,France,96400
3624,gemma,Italy,96346
3625,NeuroForge,India,96306
3626,Infiniti,India,96294
3627,Finmaster,India,96280
3628,Tech Mavericks,India,96269
3629,Rames,United States,96255
3630,Sharpe Enough,United Kingdom,96236
3631,V for Virginia,United States,96235
3632,Harshad Mehta Disciples,India,96221
3633,Simon E,Netherlands,96207
3634,QuadRant,India,96171
3635,qwerty12345566658766,Australia,96149
3636,Bankers,Australia,96140
3637,BridgeQuant,France,96115
3638,Jinmamak,United States,96099
3639,LondonDream,United Kingdom,96089
3640,Benji,South Africa,96071
3641,Theta gang,France,95987
3642,Aurianelathugmdr,France,95977
3643,tye,United States,95932
3644,Alpha Central,United Kingdom,95892
3645,Liquidity Goblins,Canada,95885
3646,Team Rocket,India,95860
3647,RSVP,India,95858
3648,Platinum,India,95797
3649,MapleHazelSmoky,United Kingdom,95789
3650,AlphaCentauri,India,95766
3651,Unonoctium,India,95761
3652,Hunterz,India,95757
3653,Team Epic,United States,95754
3654,CSB touse,United States,95709
3655,Zero Gravity Alpha,India,95708
3656,Ditrader517,France,95665
3657,Sigmund and Fanselau,United Arab Emirates,95665
3658,youknowwho,India,95646
3659,quant_101,India,95640
3660,BuggsForge,India,95631
3661,Submartingale1,United Kingdom,95615
3662,zeetee,Singapore,95611
3663,TEAM Z,India,95563
3664,The Alternatives,Australia,95546
3665,The Green Vleet,Belgium,95539
3666,HOCK,India,95526
3667,Deep Space Alpha,United States,95509
3668,GeneralCorn,China,95505
3669,Burntbean,United Kingdom,95505
3670,Code Divas,India,95487
3671,SoloSquads,United States,95478
3672,spread it to win it,India,95477
3673,prosperiousTrader,Germany,95453
3674,Sleeping Market Maker,Singapore,95438
3675,LordEgg,Spain,95416
3676,GWills,United Kingdom,95388
3677,Dimitrinci,Bulgaria,95385
3678,ctrl freaks,India,95381
3679,NeuralArch,India,95363
3680,MrGoose,Canada,95343
3681,Just One More Trade,India,95339
3682,RiskOfRain3,United Kingdom,95316
3683,Vedwin,United States,95309
3684,Exciton,United States,95305
3685,Team2asdad,Albania,95261
3686,Aurora QuantLabs,India,95255
3687,AlgoParaders,United Kingdom,95252
3688,lionking,India,95223
3689,snp interlude,India,95209
3690,Codeconquerer,United Kingdom,95209
3691,Galois Poincare,France,95198
3692,The Duck Trader,United States,95197
3693,Couldnt be more my type,United States,95191
3694,Crea,India,95185
3695,RavanaCoders,India,95180
3696,JZ,United States,95090
3697,DabloonDemolishers,India,95049
3698,Evolution,United Kingdom,95010
3699,cool team name,India,94973
3700,The Ebb,Hong Kong,94971
3701,Gentle Buzz,India,94969
3702,StratoQuant,France,94958
3703,Chole Bhature,India,94930
3704,Trade mafia,India,94913
3705,russianjew,United Kingdom,94912
3706,Only I level up,India,94866
3707,Flash crashers,Netherlands,94862
3708,Z Team,Canada,94852
3709,Brandons Backers,Australia,94852
3710,Team Sovereign,India,94832
3711,Spiritus Trading,Canada,94825
3712,Aarush Mitra,United Kingdom,94819
3713,Babson College,United States,94815
3714,VSecurities,United Kingdom,94801
3715,Gamblers Of Tihar,India,94773
3716,Swingers traders,Netherlands,94751
3717,fam ouo,Australia,94745
3718,QUANT GROTHENDIECK,Spain,94678
3719,QUANTT,Canada,94656
3720,Team121213,China,94643
3721,Place Holder,Australia,94642
3722,The Card Counters,United States,94637
3723,Crown and Dagger,United States,94624
3724,EDG Trading,United States,94621
3725,WhalesOfParis,France,94557
3726,AeroFyta,India,94471
3727,CosmicTrader,India,94407
3728,The Profit Curve,United Kingdom,94403
3729,in_the_money,United States,94400
3730,IMeanCmon,India,94400
3731,Turbulence Traders,Singapore,94374
3732,you only live once,United Kingdom,94328
3733,WLoo,Canada,94296
3734,one big chungus,United States,94277
3735,Mathbois,India,94249
3736,Zero Loss Squad,India,94238
3737,Puneet Prakash,India,94189
3738,TechNerd,India,94186
3739,Profit Prophets,United States,94162
3740,232,India,94141
3741,Vansh Narula,India,94102
3742,XY,Jersey,94057
3743,kuch bhi rakh le naam,India,94056
3744,how did we get here,India,94032
3745,hehe i make money,India,93962
3746,Gulock,United Kingdom,93907
3747,Bouncy Bunny,United Kingdom,93821
3748,stargate,United States,93769
3749,AlgoStack,India,93767
3750,Utama,Singapore,93764
3751,221-B,India,93762
3752,Soloer,India,93722
3753,ProspireMe,India,93668
3754,kig_trading,United States,93511
3755,USHR alpha,United States,93504
3756,iiTraiders,India,93503
3757,HackerOrWot,India,93485
3758,INSIGHT MAFIA,India,93483
3759,TWO QUANT SOULS,India,93453
3760,wet dog,United States,93451
3761,Moonlight,United States,93421
3762,Origin,United States,93414
3763,Oli_123,Australia,93381
3764,The Pericleans,India,93355
3765,Markandeya,India,93353
3766,Ambitious_Grinders,India,93352
3767,All On Red,Ireland,93344
3768,git sploinked,United States,93340
3769,tbd28,United States,93309
3770,The Bear Cartel,India,93296
3771,TIC TEAM 1,Netherlands,93271
3772,Solo Alpha Dev,India,93168
3773,Quantum pulse,India,93150
3774,MetaAgents,India,93117
3775,Tamu SA,United States,93116
3776,Epfl,Switzerland,93082
3777,Lebron James,United States,93061
3778,Atlas Quantitative,Netherlands,93048
3779,FAAAAA,India,93027
3780,Am1106,India,93019
3781,Covariance Kings,France,93010
3782,Proleteam,Italy,92985
3783,Colocated,Australia,92965
3784,Hans solo,United Kingdom,92940
3785,RTRN_MAXXERS,Germany,92837
3786,Axolotls,India,92822
3787,may_prosperity4,United States,92818
3788,Power Majdoor,India,92779
3789,We Are Liquidity,United Kingdom,92748
3790,HeisenbergKePapa,India,92711
3791,Jawline,India,92708
3792,pubedu,United States,92703
3793,Planck Horizon,Netherlands,92689
3794,Trrrump,Australia,92629
3795,I like Alpha,India,92617
3796,Team Perseverance,India,92549
3797,Mithra,Netherlands,92542
3798,Sri,India,92523
3799,KalbarriYY,United States,92465
3800,aryan fan club,United States,92440
3801,Team Togo,United Kingdom,92416
3802,Algo Bulls,India,92408
3803,LETS GO DAN,United States,92393
3804,Timyyy,France,92322
